komodita,pocet_stran
teplo,2
teplo,3
teplo,2
teplo,3
teplo,3
teplo,2
teplo,3
teplo,3
teplo,6
teplo,1
teplo,2
teplo,10
teplo,2
teplo,2
teplo,3
teplo,2
teplo,2
teplo,7
teplo,6
teplo,10
teplo,6
teplo,12
teplo,3
teplo,2
teplo,4
teplo,4
teplo,2
teplo,3
teplo,4
teplo,4
teplo,3
teplo,12
teplo,2
teplo,2
teplo,3
teplo,3
teplo,10
teplo,3
teplo,6
teplo,2
teplo,3
teplo,8
teplo,10
teplo,6
teplo,3
teplo,8
teplo,4
teplo,6
teplo,4
teplo,10
teplo,4
teplo,4
teplo,4
teplo,18
teplo,3
teplo,4
teplo,2
teplo,2
teplo,3
teplo,2
teplo,4
teplo,6
teplo,10
teplo,6
teplo,3
teplo,10
teplo,6
teplo,2
teplo,2
teplo,3
teplo,4
teplo,3
teplo,3
teplo,4
teplo,6
teplo,2
teplo,10
teplo,10
teplo,4
teplo,1
teplo,2
teplo,5
teplo,3
teplo,2
teplo,3
teplo,4
teplo,2
teplo,10
teplo,4
teplo,4
teplo,2
teplo,4
teplo,6
teplo,4
teplo,4
teplo,2
teplo,3
teplo,4
teplo,2
teplo,3
teplo,3
teplo,3
teplo,4
teplo,3
teplo,2
teplo,6
teplo,3
teplo,6
teplo,4
teplo,10
teplo,3
teplo,2
teplo,6
teplo,3
teplo,3
teplo,10
teplo,6
teplo,6
teplo,4
voda,2
voda,2
voda,2
voda,4
voda,4
voda,4
voda,2
voda,4
voda,4
voda,2
voda,2
voda,4
voda,2
voda,4
voda,1
voda,2
voda,6
voda,2
voda,3
voda,2
voda,6
voda,2
voda,4
voda,4
voda,4
voda,7
voda,6
voda,2
voda,3
voda,4
voda,4
voda,6
voda,6
voda,4
voda,4
voda,4
voda,4
voda,4
voda,2
voda,2
voda,2
voda,2
voda,4
voda,2
voda,7
voda,2
voda,3
voda,8
voda,4
voda,3
voda,4
voda,4
voda,8
voda,4
voda,4
voda,2
voda,4
voda,2
voda,2
voda,4
voda,6
voda,4
voda,4
voda,4
voda,4
voda,3
voda,6
voda,4
voda,2
voda,4
voda,4
voda,6
voda,2
voda,4
voda,2
voda,1
voda,1
voda,6
voda,4
voda,6
voda,4
voda,4
voda,2
voda,4
voda,2
voda,4
voda,8
voda,6
voda,4
voda,2
voda,2
voda,2
voda,2
voda,6
voda,6
voda,3
voda,2
voda,8
voda,2
voda,4
voda,2
voda,8
voda,8
voda,2
voda,4
voda,4
voda,4
voda,6
voda,3
